ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA,Description,Enery_kcal,Protein,Sodium,SaturatedFat,Cholesterol,Potassium,VitaminD,FoodGroup_Encoded
11808,,,,,-0.6078140000491634,-0.1381074898593464,-0.2333235159732393,,,,,0.05444269415237642,-0.08878699762218441,,,,,-0.16962712510935773,,-0.36904696412367227,,,,,,,,,,,,,,,,,,,,,"PARSNIPS,CKD,BLD,DRND,W/SALT",71.0,1.32,246.0,0.05,0.0,367.0,0.0,25
11809,,,,,-0.6120359211628466,-0.5220076794938411,-0.2951356927610414,,,,,0.5471496948996265,-0.23816538784506822,,,,,-0.14582296042596382,,-0.13687521953496537,,,,,,,,,,,,,,,,,,,,,"PEAS,EDIBLE-PODDED,CKD,BLD,DRND,W/SALT",40.0,3.27,240.0,0.044,0.0,240.0,0.0,25
11810,,,,,-0.6029889473478112,-0.4503220516663573,-0.23179728938588612,,,,,0.18150180609292804,-0.2185747792912474,,,,,-0.06488880050242452,,-0.06505230574133662,,,,,,,,,,,,,,,,,,,,,"PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,W/SALT",50.0,3.5,241.0,0.073,0.0,217.0,0.0,25
11811,,,,,-0.6126390527505157,-0.18832381798215236,-0.14709171378778693,,,,,0.07138390907778329,-0.2993860395757583,,,,,-0.21723545447614556,,-0.2086981333285941,,,,,,,,,,,,,,,,,,,,,"PEAS,GRN,CKD,BLD,DRND,W/SALT",84.0,5.36,239.0,0.039,0.0,271.0,0.0,25
11812,,,,,-0.6078140000491634,-0.4022890421575864,-0.3554216429614904,,,,,0.009266121017958073,-0.32877195240648954,,,,,-0.2600829509062546,,-0.2955537500092615,,,,,,,,,,,,,,,,,,,,,"PEAS,GRN,CND,NO SALT,SOL&LIQUIDS",53.0,3.19,9.0,0.054,0.0,100.0,0.0,25
11813,,,,,-0.6047983421108183,-0.299309180862267,-0.28216276676853974,,,,,0.00644258519705691,-0.32632312633726196,,,,,-0.25056128503289704,,-0.30724585225473594,,,,,,,,,,,,,,,,,,,,,"PEAS,GRN,CND,NO SALT,DRND SOL",69.0,4.42,2.0,0.062,0.0,173.0,0.0,25
11814,,,,,-0.6096233948121705,-0.23817625966928585,-0.2447702153783878,,,,,0.01067788892840864,-0.32632312633726196,,,,,-0.2315179532861819,,-0.21203873397015824,,,,,,,,,,,,,,,,,,,,,"PEAS,GRN,FRZ,CKD,BLD,DRND,W/SALT",78.0,5.15,323.0,0.049,0.0,110.0,0.0,25
11815,,,,,-0.5951482367081138,-0.13556028480963897,0.030449677272102082,,,,,-0.035910452116460295,0.03058395890730798,,,,,-0.22199628741282434,,-0.1869842291584273,,,,,,,,,,,,,,,,,,,,,"PEAS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",98.0,7.05,239.0,0.09,0.0,268.0,0.0,25
11816,,,,,-0.6096233948121705,-0.44850261948799475,-0.3836568348275235,,,,,-0.035910452116460295,-0.24061421391429583,,,,,-0.2362787862228607,,-0.3406518586703772,,,,,,,,,,,,,,,,,,,,,"PEAS&CARROTS,CND,NO SALT,SOL&LIQUIDS",38.0,2.17,4.0,0.049,0.0,100.0,0.0,25
11817,,,,,-0.600576420997135,-0.3888252440377037,-0.26690050089500833,,,,,-0.014733933459701693,-0.20633064894510939,,,,,-0.2362787862228607,,-0.30891615257551797,,,,,,,,,,,,,,,,,,,,,"PEAS&CARROTS,FRZ,CKD,BLD,DRND,W/SALT",48.0,3.09,304.0,0.077,0.0,158.0,0.0,25
11818,,,,,-0.6138453159258538,-0.44304432295290713,-0.31192418522192594,,,,,-0.03167514838510856,-0.32877195240648954,,,,,-0.27912628265296974,,-0.30891615257551797,,,,,,,,,,,,,,,,,,,,,"PEAS&ONIONS,FRZ,CKD,BLD,DRND,W/SALT",45.0,2.54,273.0,0.036,0.0,117.0,0.0,25
11819,,,,,-0.599370157821797,-0.43649436711080203,-0.1951678512894108,,,,,1.8996233531112758,-0.16470060576824014,,,,,-0.27912628265296974,,-0.2938834496884794,,,,,,,,,,,,,,,,,,,,,"PEPPERS,HOT CHILI,RED,RAW",40.0,1.87,9.0,0.042,0.0,322.0,0.0,25
11820,,,,,-0.619876631802544,-0.5714962347453021,-0.34626428343737164,,,,,0.8309150449001919,-0.16470060576824014,,,,,-0.3124521132097212,,-0.3824093666899288,,,,,,,,,,,,,,,,,,,,,"PEPPERS,HOT CHILI,RED,CND,EXCLUDING SEEDS,SOL&LIQUIDS",21.0,0.9,1173.0,0.01,0.0,187.0,0.0,25
11821,,,,,-0.6078140000491634,-0.5376547962277589,-0.2791103135938335,,,,,1.6737404874391844,0.053244914393016624,,,,,-0.3124521132097212,,-0.3941014689354032,,,,,,,,,,,,,,,,,,,,,"PEPPERS,SWT,RED,RAW",31.0,0.99,4.0,0.027,0.0,211.0,0.0,25
11822,,,,,-0.6138453159258538,-0.5347437047423789,-0.356184756255167,,,,,0.9212681911690287,-0.21122830108356458,,,,,-0.30293044733636365,,-0.3890905679730571,,,,,,,,,,,,,,,,,,,,,"PEPPERS,SWT,GRN,CKD,BLD,DRND,W/SALT",26.0,0.92,238.0,0.029,0.0,166.0,0.0,25
11823,,,,,-0.6138453159258538,-0.5132744050377009,-0.2646111610139787,,,,,2.2850359926642825,0.07038669687760982,,,,,-0.30293044733636365,,-0.3890905679730571,,,,,,,,,,,,,,,,,,,,,"PEPPERS,SWT,RED,CKD,BLD,DRND,WO/SALT",28.0,0.92,2.0,0.029,0.0,166.0,0.0,25
11824,,,,,-0.6138453159258538,-0.5347437047423789,-0.2646111610139787,,,,,2.2850359926642825,0.07038669687760982,,,,,-0.30293044733636365,,-0.3890905679730571,,,,,,,,,,,,,,,,,,,,,"PEPPERS,SWT,RED,CKD,BLD,DRND,W/SALT",26.0,0.92,238.0,0.029,0.0,166.0,0.0,25
